cluster1_train,cluster1_validation,cluster1_test,cluster2_train,cluster2_validation,cluster2_test,cluster3_train,cluster3_validation,cluster3_test,clusterall_train,clusterall_validation,clusterall_test
3.0,138.0,139.0,1.0,144.0,51.0,26.0,12.0,150.0,3,138.0,139.0
4.0,166.0,20.0,5.0,14.0,176.0,30.0,22.0,,4,166.0,20.0
15.0,2.0,133.0,6.0,7.0,123.0,60.0,,,15,2.0,133.0
16.0,170.0,131.0,8.0,190.0,115.0,161.0,,,16,170.0,131.0
24.0,18.0,40.0,9.0,130.0,174.0,,,,24,18.0,40.0
25.0,132.0,191.0,10.0,126.0,41.0,,,,25,132.0,191.0
29.0,53.0,,11.0,62.0,28.0,,,,29,53.0,51.0
31.0,32.0,,13.0,93.0,46.0,,,,31,32.0,176.0
34.0,69.0,,23.0,183.0,189.0,,,,34,69.0,123.0
50.0,184.0,,33.0,17.0,47.0,,,,50,184.0,115.0
54.0,78.0,,35.0,151.0,,,,,54,78.0,174.0
56.0,27.0,,36.0,97.0,,,,,56,27.0,41.0
58.0,,,38.0,0.0,,,,,58,144.0,28.0
59.0,,,39.0,152.0,,,,,59,14.0,46.0
61.0,,,48.0,37.0,,,,,61,7.0,189.0
63.0,,,49.0,198.0,,,,,63,190.0,47.0
64.0,,,52.0,109.0,,,,,64,130.0,150.0
66.0,,,55.0,145.0,,,,,66,126.0,
70.0,,,57.0,125.0,,,,,70,62.0,
71.0,,,65.0,88.0,,,,,71,93.0,
75.0,,,67.0,21.0,,,,,75,183.0,
76.0,,,68.0,,,,,,76,17.0,
79.0,,,72.0,,,,,,79,151.0,
82.0,,,73.0,,,,,,82,97.0,
84.0,,,74.0,,,,,,84,0.0,
85.0,,,77.0,,,,,,85,152.0,
89.0,,,80.0,,,,,,89,37.0,
94.0,,,81.0,,,,,,94,198.0,
95.0,,,83.0,,,,,,95,109.0,
100.0,,,86.0,,,,,,100,145.0,
101.0,,,90.0,,,,,,101,125.0,
102.0,,,92.0,,,,,,102,88.0,
103.0,,,96.0,,,,,,103,21.0,
110.0,,,98.0,,,,,,110,12.0,
117.0,,,99.0,,,,,,117,22.0,
119.0,,,104.0,,,,,,119,,
120.0,,,105.0,,,,,,120,,
121.0,,,106.0,,,,,,121,,
141.0,,,107.0,,,,,,141,,
143.0,,,108.0,,,,,,143,,
154.0,,,111.0,,,,,,154,,
157.0,,,112.0,,,,,,157,,
180.0,,,113.0,,,,,,180,,
185.0,,,114.0,,,,,,185,,
,,,118.0,,,,,,1,,
,,,122.0,,,,,,5,,
,,,124.0,,,,,,6,,
,,,127.0,,,,,,8,,
,,,128.0,,,,,,9,,
,,,129.0,,,,,,10,,
,,,135.0,,,,,,11,,
,,,136.0,,,,,,13,,
,,,137.0,,,,,,23,,
,,,140.0,,,,,,33,,
,,,142.0,,,,,,35,,
,,,155.0,,,,,,36,,
,,,156.0,,,,,,38,,
,,,158.0,,,,,,39,,
,,,159.0,,,,,,48,,
,,,160.0,,,,,,49,,
,,,168.0,,,,,,52,,
,,,169.0,,,,,,55,,
,,,177.0,,,,,,57,,
,,,178.0,,,,,,65,,
,,,179.0,,,,,,67,,
,,,181.0,,,,,,68,,
,,,182.0,,,,,,72,,
,,,186.0,,,,,,73,,
,,,187.0,,,,,,74,,
,,,188.0,,,,,,77,,
,,,192.0,,,,,,80,,
,,,193.0,,,,,,81,,
,,,194.0,,,,,,83,,
,,,195.0,,,,,,86,,
,,,197.0,,,,,,90,,
,,,199.0,,,,,,92,,
,,,,,,,,,96,,
,,,,,,,,,98,,
,,,,,,,,,99,,
,,,,,,,,,104,,
,,,,,,,,,105,,
,,,,,,,,,106,,
,,,,,,,,,107,,
,,,,,,,,,108,,
,,,,,,,,,111,,
,,,,,,,,,112,,
,,,,,,,,,113,,
,,,,,,,,,114,,
,,,,,,,,,118,,
,,,,,,,,,122,,
,,,,,,,,,124,,
,,,,,,,,,127,,
,,,,,,,,,128,,
,,,,,,,,,129,,
,,,,,,,,,135,,
,,,,,,,,,136,,
,,,,,,,,,137,,
,,,,,,,,,140,,
,,,,,,,,,142,,
,,,,,,,,,155,,
,,,,,,,,,156,,
,,,,,,,,,158,,
,,,,,,,,,159,,
,,,,,,,,,160,,
,,,,,,,,,168,,
,,,,,,,,,169,,
,,,,,,,,,177,,
,,,,,,,,,178,,
,,,,,,,,,179,,
,,,,,,,,,181,,
,,,,,,,,,182,,
,,,,,,,,,186,,
,,,,,,,,,187,,
,,,,,,,,,188,,
,,,,,,,,,192,,
,,,,,,,,,193,,
,,,,,,,,,194,,
,,,,,,,,,195,,
,,,,,,,,,197,,
,,,,,,,,,199,,
,,,,,,,,,26,,
,,,,,,,,,30,,
,,,,,,,,,60,,
,,,,,,,,,161,,
