cluster1_train,cluster1_validation,cluster1_test,cluster2_train,cluster2_validation,cluster2_test,cluster3_train,cluster3_validation,cluster3_test,clusterall_train,clusterall_validation,clusterall_test
78037,108567.0,54683.0,30461,27995.0,40112.0,7395,88824.0,51479.0,75913,107573.0,52086.0
16264,71369.0,74589.0,29314,105475.0,62049.0,41736,67770.0,13799.0,10573,72301.0,12643.0
27239,72462.0,64621.0,36178,101944.0,23751.0,55305,34685.0,116255.0,23033,71996.0,115392.0
73123,9666.0,111853.0,93225,107241.0,22008.0,41941,9449.0,74827.0,71515,7523.0,111662.0
4010,43721.0,633.0,4750,26820.0,113934.0,2801,87494.0,37189.0,5774,4864.0,53613.0
55713,95592.0,5408.0,93326,4162.0,74527.0,59321,66627.0,119119.0,50610,97270.0,8018.0
90456,108288.0,41544.0,17747,47944.0,80854.0,5701,29174.0,88666.0,89603,107271.0,53404.0
105696,75485.0,40246.0,10347,97685.0,109715.0,43164,7960.0,16134.0,101979,77812.0,37678.0
12328,5853.0,1633.0,106499,36855.0,52415.0,112948,43151.0,34995.0,18852,6498.0,2835.0
24929,15763.0,78465.0,50731,91515.0,103982.0,62214,36780.0,23470.0,23675,15811.0,79870.0
93300,26012.0,98404.0,98013,26498.0,80170.0,44497,106522.0,76779.0,93673,34910.0,85183.0
93529,25930.0,14035.0,44256,16874.0,36631.0,43299,88608.0,76845.0,22652,76439.0,59061.0
116386,10980.0,120215.0,23282,7450.0,55387.0,94883,5371.0,32241.0,114200,16337.0,119753.0
74341,3576.0,1135.0,113455,10615.0,2296.0,56324,74334.0,53443.0,76353,3385.0,52780.0
98346,71524.0,47521.0,87185,49689.0,105246.0,42759,88273.0,30446.0,69634,75635.0,50671.0
95455,10711.0,17537.0,119202,32934.0,22842.0,39126,42565.0,14537.0,32040,12760.0,22049.0
68691,107.0,17107.0,71845,77392.0,119846.0,64749,103589.0,120220.0,52897,142.0,27544.0
115059,52021.0,64340.0,110316,54957.0,44238.0,71328,106387.0,39038.0,114371,56567.0,68954.0
99459,26822.0,32046.0,41858,76275.0,119433.0,45468,65877.0,29199.0,14536,52760.0,55525.0
82140,99180.0,63075.0,119803,58492.0,83570.0,80286,36192.0,112899.0,86554,99918.0,62871.0
16704,76079.0,117676.0,90279,84474.0,43542.0,115840,73969.0,23842.0,20479,78900.0,117054.0
99698,96389.0,94716.0,36688,11567.0,97632.0,101252,50685.0,105527.0,101469,93507.0,100274.0
42258,102506.0,48580.0,97095,62540.0,48521.0,35566,56727.0,59112.0,37519,97639.0,41883.0
13668,34776.0,99801.0,804,28541.0,83217.0,52767,81401.0,106136.0,85174,28663.0,93662.0
51912,11758.0,73289.0,8826,56485.0,69709.0,73161,47358.0,88070.0,72193,14759.0,71919.0
116745,48157.0,16571.0,79712,4223.0,16011.0,70815,48258.0,16188.0,116547,64587.0,14495.0
27333,98158.0,91065.0,41924,49125.0,22925.0,112755,115494.0,87842.0,25665,98907.0,91493.0
44214,84224.0,63014.0,113205,96531.0,33738.0,78991,88984.0,59864.0,41302,84380.0,62292.0
78178,81947.0,79432.0,116926,115119.0,38563.0,73935,106026.0,82842.0,76944,85505.0,79721.0
88751,30172.0,66764.0,72459,10528.0,4918.0,104523,9488.0,76236.0,88904,25476.0,64451.0
119848,82732.0,64588.0,83224,18388.0,39429.0,23220,113912.0,34589.0,119687,86573.0,68982.0
114561,14296.0,40464.0,97115,117974.0,99454.0,75624,4316.0,67034.0,115031,17227.0,43369.0
104298,30619.0,35278.0,60697,101653.0,56078.0,45060,86737.0,8173.0,99303,21330.0,57683.0
45059,83500.0,52764.0,17123,100207.0,10432.0,16922,57889.0,48997.0,119904,83117.0,47504.0
33027,40069.0,104404.0,101364,70578.0,88218.0,109473,89507.0,105613.0,30717,52270.0,105344.0
60988,4456.0,52259.0,73296,3597.0,48429.0,119547,44601.0,18811.0,57922,2609.0,45016.0
9735,68637.0,33259.0,44736,108789.0,35953.0,82169,43581.0,29088.0,6626,89426.0,30576.0
29286,3008.0,26156.0,7290,13822.0,91193.0,31570,11000.0,66165.0,37137,4087.0,30773.0
25025,107770.0,59848.0,70200,93614.0,62894.0,81594,77761.0,82956.0,25962,106020.0,80774.0
