,0
0,1
1,1
2,4
3,4
4,4
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,4
16,4
17,1
18,4
19,1
20,3
21,4
22,2
23,1
24,4
25,3
26,2
27,3
28,1
29,4
30,2
31,3
32,4
33,1
34,3
35,1
36,1
37,4
38,1
39,1
40,4
41,1
42,3
43,1
44,1
45,3
46,1
47,1
48,1
49,1
50,3
51,1
52,1
53,4
54,4
55,1
56,3
57,1
58,3
59,4
60,2
61,4
62,1
63,4
64,3
65,1
66,4
67,1
68,1
69,3
70,4
71,4
72,1
73,1
74,1
75,4
76,4
77,1
78,4
79,3
80,1
81,1
82,3
83,1
84,4
85,3
86,4
87,4
88,1
89,4
90,1
91,1
92,1
93,1
94,3
95,3
96,1
97,1
98,1
99,1
100,4
101,4
102,4
103,4
104,1
105,1
106,1
107,1
108,1
109,1
110,3
111,1
112,1
113,1
114,1
115,1
116,4
117,4
118,1
119,3
120,3
121,3
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,4
132,3
133,4
134,1
135,1
136,1
137,1
138,3
139,4
140,1
141,4
142,1
143,4
144,1
145,1
146,1
147,1
148,1
149,3
150,2
151,1
152,1
153,1
154,3
155,1
156,1
157,3
158,1
159,1
160,1
161,2
162,1
163,1
164,1
165,3
166,3
167,1
168,1
169,1
170,3
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,1
179,1
180,4
181,1
182,1
183,1
184,3
185,4
186,1
187,1
188,1
189,1
190,1
191,3
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
