,Unnamed: 0,0
0,0,2
1,1,2
2,2,1
3,3,1
4,4,1
5,5,2
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,3
13,13,2
14,14,2
15,15,1
16,16,1
17,17,2
18,18,1
20,20,1
21,21,2
22,22,3
23,23,2
24,24,1
25,25,1
26,26,3
27,27,1
28,28,2
29,29,1
30,30,3
31,31,1
32,32,1
33,33,2
34,34,1
35,35,2
36,36,2
37,37,2
38,38,2
39,39,2
40,40,1
41,41,2
46,46,2
47,47,2
48,48,2
49,49,2
50,50,1
51,51,2
52,52,2
53,53,1
54,54,1
55,55,2
56,56,1
57,57,2
58,58,1
59,59,1
60,60,3
61,61,1
62,62,2
63,63,1
64,64,1
65,65,2
66,66,1
67,67,2
68,68,2
69,69,1
70,70,1
71,71,1
72,72,2
73,73,2
74,74,2
75,75,1
76,76,1
77,77,2
78,78,1
79,79,1
80,80,2
81,81,2
82,82,1
83,83,2
84,84,1
85,85,1
86,86,2
88,88,2
89,89,1
90,90,2
92,92,2
93,93,2
94,94,1
95,95,1
96,96,2
97,97,2
98,98,2
99,99,2
100,100,1
101,101,1
102,102,1
103,103,1
104,104,2
105,105,2
106,106,2
107,107,2
108,108,2
109,109,2
110,110,1
111,111,2
112,112,2
113,113,2
114,114,2
115,115,2
117,117,1
118,118,2
119,119,1
120,120,1
121,121,1
122,122,2
123,123,2
124,124,2
125,125,2
126,126,2
127,127,2
128,128,2
129,129,2
130,130,2
131,131,1
132,132,1
133,133,1
135,135,2
136,136,2
137,137,2
138,138,1
139,139,1
140,140,2
141,141,1
142,142,2
143,143,1
144,144,2
145,145,2
150,150,3
151,151,2
152,152,2
154,154,1
155,155,2
156,156,2
157,157,1
158,158,2
159,159,2
160,160,2
161,161,3
166,166,1
168,168,2
169,169,2
170,170,1
174,174,2
176,176,2
177,177,2
178,178,2
179,179,2
180,180,1
181,181,2
182,182,2
183,183,2
184,184,1
185,185,1
186,186,2
187,187,2
188,188,2
189,189,2
190,190,2
191,191,1
192,192,2
193,193,2
194,194,2
195,195,2
197,197,2
198,198,2
199,199,2
