query,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10,seq11,seq12,seq13,seq14,seq15,seq16,seq17,seq18,seq19,seq20,seq21,seq22,seq23,seq24,seq25,seq26,seq27,seq28,seq29,seq30,seq31,seq32,seq33,seq34,seq35,seq36,seq37,seq38,seq39,seq40,seq41,seq42,seq43,seq44,seq45,seq46,seq47,seq48,seq49,seq50,seq51,seq52,seq53,seq54,seq55,seq56,seq57,seq58,seq59,seq60,seq61,seq62,seq63,seq64,seq65,seq66,seq67,seq68,seq69,seq70,seq71,seq72,seq73,seq74,seq75,seq76,seq77,seq78,seq79,seq80,seq81,seq82,seq83,seq84,seq85,seq86,seq87,seq88,seq89,seq90,seq91,seq92,seq93,seq94,seq95,seq96,seq97,seq98,seq99,seq100,seq101,seq102,seq103,seq104,seq105,seq106,seq107,seq108,seq109,seq110,seq111,seq112,seq113,seq114,seq115,seq116,seq117,seq118,seq119,seq120,seq121,seq122,seq123,seq124,seq125,seq126,seq127,seq128,seq129,seq130,seq131,seq132,seq133,seq134,seq135,seq136,seq137,seq138,seq139,seq140,seq141,seq142,seq143,seq144,seq145,seq146,seq147,seq148,seq149,seq150,seq151,seq152,seq153,seq154,seq155,seq156,seq157,seq158,seq159,seq160,seq161,seq162,seq163,seq164,seq165,seq166,seq167,seq168,seq169,seq170,seq171,seq172,seq173,seq174,seq175,seq176,seq177,seq178,seq179,seq180,seq181,seq182,seq183,seq184,seq185,seq186,seq187,seq188,seq189,seq190,seq191,seq192,seq193,seq194,seq195,seq196,seq197,seq198,seq199,seq200
seq1,100.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,30.5,0.0,60.6,31.3,0.0,39.7,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,0.0,36.7,0.0,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,37.1,27.5,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,27.1,0.0,0.0,0.0,0.0,37.0,41.6,76.8,72.7,0.0,0.0,36.5,0.0,0.0,0.0,75.5,38.3,0.0,0.0,0.0,39.0,27.7,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,31.5,31.5,0.0,24.6,0.0,0.0,26.5,26.5,0.0,0.0,100.0,0.0,0.0,64.8,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,34.4,71.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,30.0,30.0,0.0,0.0,0.0,0.0,0.0,52.4,31.7,38.2,38.2,38.2,38.2,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,28.5,0.0,0.0,36.9,0.0,35.0,0.0,45.4,43.0,0.0,28.4,32.9,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0
seq2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.7,99.7,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq6,30.1,0.0,0.0,0.0,0.0,100.0,30.4,0.0,88.0,0.0,32.8,27.2,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,35.1,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,30.8,29.1,28.7,0.0,29.4,0.0,34.4,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,38.8,24.0,26.9,0.0,30.0,0.0,0.0,27.2,27.2,0.0,0.0,31.1,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,28.1,35.4,35.4,0.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,76.4,32.5,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,45.8,45.8,45.8,45.8,45.8,0.0,0.0,0.0,0.0,38.6,38.6,38.6,38.6,0.0,0.0,32.5,0.0,0.0,36.0,0.0,0.0,31.8,0.0,32.4,0.0,0.0,40.2,0.0,66.6,0.0,0.0,0.0,28.3,35.4,30.0,30.0,0.0,32.0,0.0
seq7,31.3,0.0,0.0,0.0,0.0,27.0,100.0,25.3,26.1,0.0,27.8,100.0,29.9,0.0,0.0,28.3,0.0,0.0,38.8,38.8,28.5,0.0,0.0,28.5,0.0,25.4,27.1,27.0,0.0,33.8,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,31.6,49.7,0.0,28.1,0.0,27.5,25.4,35.7,39.5,29.4,0.0,39.4,30.9,0.0,0.0,0.0,28.5,0.0,25.3,0.0,0.0,34.3,0.0,0.0,35.2,0.0,0.0,20.9,21.9,0.0,0.0,0.0,0.0,0.0,0.0,25.3,25.0,42.3,42.3,0.0,37.9,0.0,0.0,58.6,58.6,0.0,0.0,31.0,0.0,27.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,36.6,44.0,0.0,36.6,0.0,0.0,0.0,0.0,26.0,0.0,45.7,25.2,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,26.7,29.4,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0.0,0.0,0.0,38.0,37.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,36.6,36.6,36.6,0.0,0.0,45.4,0.0,0.0,35.7,0.0,0.0,24.6,26.6,33.3,26.9,0.0,19.4,0.0,26.2,29.8,0.0,0.0,39.7,0.0,0.0,0.0,0.0,38.8,40.8
seq8,0.0,0.0,0.0,0.0,0.0,0.0,25.6,100.0,32.2,0.0,28.9,32.8,32.8,25.3,0.0,24.8,23.6,0.0,25.0,25.0,62.3,0.0,0.0,22.7,0.0,25.7,64.2,65.5,27.7,0.0,0.0,0.0,20.7,56.2,55.9,25.6,30.0,0.0,30.6,0.0,32.8,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,25.6,0.0,0.0,0.0,0.0,0.0,28.2,21.8,27.6,0.0,0.0,0.0,29.8,27.3,0.0,0.0,22.4,27.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,28.3,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,25.2,24.4,24.8,24.8,0.0,26.5,0.0,0.0,0.0,0.0,0.0,25.7,26.6,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,32.4,32.4,0.0,29.6,0.0,0.0,0.0,0.0,25.6,0.0,0.0,24.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,23.8,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,27.2,0.0,0.0,29.2,0.0,19.7,19.7,19.7,19.7,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,0.0,24.8,27.5,0.0,27.8,28.2,24.1,0.0,0.0,23.9,0.0,0.0,0.0,27.2,0.0,0.0,0.0,25.0,0.0
seq9,30.5,0.0,0.0,0.0,0.0,88.0,28.0,31.3,100.0,0.0,34.3,28.5,0.0,25.3,0.0,0.0,0.0,0.0,33.3,33.3,31.4,0.0,0.0,30.3,0.0,0.0,31.4,0.0,25.2,32.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,23.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.0,26.7,30.8,31.9,29.1,0.0,0.0,29.0,35.8,0.0,0.0,33.3,0.0,39.3,0.0,0.0,0.0,31.5,0.0,33.7,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,29.8,30.3,27.4,27.4,0.0,32.2,25.0,0.0,24.5,24.5,0.0,0.0,30.5,0.0,0.0,29.1,0.0,0.0,36.6,0.0,0.0,0.0,35.1,35.2,0.0,34.6,0.0,0.0,0.0,30.5,37.1,0.0,29.5,37.1,37.1,0.0,0.0,0.0,0.0,0.0,29.5,28.5,28.5,67.6,35.4,0.0,0.0,32.0,31.9,33.8,33.8,33.8,33.8,33.8,33.8,0.0,0.0,0.0,30.4,33.3,32.9,0.0,0.0,33.8,0.0,47.9,47.9,47.9,47.9,47.9,0.0,0.0,0.0,30.6,38.8,38.8,38.8,38.8,0.0,0.0,32.8,35.2,0.0,34.7,0.0,0.0,35.0,0.0,33.8,0.0,34.0,32.2,0.0,65.4,0.0,0.0,0.0,28.7,0.0,30.1,30.1,0.0,33.3,36.4
seq10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,32.8,32.8,32.8,32.8,0.0,0.0,0.0,30.5,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0
